Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Value,Units,Tolerance,Dielectric,Voltage,ESR,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,Component Note,gost BOM,TU,Note
CC0603JRNP09BN221,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,220,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN221, 0603 C0G 220 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 220pF ±5% 50V C0G,0603 220pF ±5% 50V C0G," "," "
CC0603JRNP09BN270,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,27,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN270, 0603 C0G 27 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 27pF ±5% 50V C0G,0603 27pF ±5% 50V C0G," "," "
CC0603JRNP09BN271,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,270,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN271, 0603 C0G 270 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 270pF ±5% 50V C0G,0603 270pF ±5% 50V C0G," "," "
CC0603JRNP09BN330,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,33,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN330, 0603 C0G 33 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 33pF ±5% 50V C0G,0603 33pF ±5% 50V C0G," "," "
CC0603JRNP09BN331,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,330,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN331, 0603 C0G 330 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 330pF ±5% 50V C0G,0603 330pF ±5% 50V C0G," "," "
CC0603JRNP09BN391,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,390,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN391, 0603 C0G 390 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 390pF ±5% 50V C0G,0603 390pF ±5% 50V C0G," "," "
CC0603JRNP09BN470,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,47,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN470, 0603 C0G 47 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 47pF ±5% 50V C0G,0603 47pF ±5% 50V C0G," "," "
CC0603JRNP09BN560,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,56,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN560, 0603 C0G 56 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 56pF ±5% 50V C0G,0603 56pF ±5% 50V C0G," "," "
CC0603JRNP09BN680,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN680, 0603 C0G 68 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 68pF ±5% 50V C0G,0603 68pF ±5% 50V C0G," "," "
CC0603JRNP09BN820,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,82,pF,±5%,C0G,50V," ",-55,125,"CC0603JRNP09BN820, 0603 C0G 82 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/7abd604f54294df81f86874b90952320/ps/yag~yageo_c_class-1-npo.pdf,0603 82pF ±5% 50V C0G,0603 82pF ±5% 50V C0G," "," "
CC0805JRNPOABN101,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0805_2012.PCBLIB,CAP 0805_2012,SMD 0805,100,pF,±5%,C0G,200V," ",-55,125,"CC0805JRNPOABN101, 0805 C0G 100 pF 200V",Datasheet,https://ru.mouser.com/datasheet/2/447/UPY-NP0X7R_MV_100-to-630V_21-1479806.pdf,0805 100pF ±5% 200V C0G,0805 100pF ±5% 200V C0G," "," "
0603N150J500CT,"Walsin "," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,50V," ",-55,125,"0603N150J500CT, 0603 NP0 15 pF 50V",Datasheet," ",0603 15pF ±5% 50V NP0,0603 15pF ±5% 50V NP0," "," "
CC0603JPNPO9BN150,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,50V," ",-55,125,"CC0603JPNPO9BN150, 0603 NP0 15 pF 50V",Datasheet," ",0603 15pF ±5% 50V NP0,0603 15pF ±5% 50V NP0," "," "
CC0603JPNPO9BN680,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,NP0,50V," ",-55,125,"CC0603JPNPO9BN680, 0603 NP0 68 pF 50V",Datasheet," ",0603 68pF ±5% 50V NP0,0603 68pF ±5% 50V NP0," "," "
CC0603JRNPO8BN150,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,25V," ",-55,125,"CC0603JRNPO8BN150, 0603 NP0 15 pF 25V",Datasheet," ",0603 15pF ±5% 25V NP0,0603 15pF ±5% 25V NP0," "," "
CC0603JRNPO9BN150,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,50V," ",-55,125,"CC0603JRNPO9BN150, 0603 NP0 15 pF 50V",Datasheet," ",0603 15pF ±5% 50V NP0,0603 15pF ±5% 50V NP0," "," "
CC0603JRNPO9BN680,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,NP0,50V," ",-55,125,"CC0603JRNPO9BN680, 0603 NP0 68 pF 50V",Datasheet," ",0603 68pF ±5% 50V NP0,0603 68pF ±5% 50V NP0," "," "
CC0603KRNPO9BN680,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±10%,NP0,50V," ",-55,125,"CC0603KRNPO9BN680, 0603 NP0 68 pF 50V",Datasheet," ",0603 68pF ±10% 50V NP0,0603 68pF ±10% 50V NP0," "," "
CL10C010CB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,1,pF,±25%,NP0,50V," ",-55,125,"CL10C010CB8NNNC, 0603 NP0 1 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 1pF ±25% 50V NP0,0603 1pF ±25% 50V NP0," "," "
CL10C150JB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,50V," ",-55,125,"CL10C150JB8NNNC, 0603 NP0 15 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 15pF ±5% 50V NP0,0603 15pF ±5% 50V NP0," "," "
CL10C150JB8NNND,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,50V," ",-55,125,"CL10C150JB8NNND, 0603 NP0 15 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 15pF ±5% 50V NP0,0603 15pF ±5% 50V NP0," "," "
CL10C680JB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,NP0,50V," ",-55,125,"CL10C680JB8NNNC, 0603 NP0 68 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 68pF ±5% 50V NP0,0603 68pF ±5% 50V NP0," "," "
CL10C680JB8NNND,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,NP0,50V," ",-55,125,"CL10C680JB8NNND, 0603 NP0 68 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 68pF ±5% 50V NP0,0603 68pF ±5% 50V NP0," "," "
CL10C680JBNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,NP0,50V," ",-55,125,"CL10C680JBNC, 0603 NP0 68 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 68pF ±5% 50V NP0,0603 68pF ±5% 50V NP0," "," "
GRM1885C1H150JA01D,Murata," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,15,pF,±5%,NP0,50V," ",-55,125,"GRM1885C1H150JA01D, 0603 NP0 15 pF 50V",Datasheet," ",0603 15pF ±5% 50V NP0,0603 15pF ±5% 50V NP0," "," "
GRM1885C1H680JA01D,Murata," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,68,pF,±5%,NP0,50V," ",-55,125,"GRM1885C1H680JA01D, 0603 NP0 68 pF 50V",Datasheet," ",0603 68pF ±5% 50V NP0,0603 68pF ±5% 50V NP0," "," "
0603B681K500CT,"WALSIN "," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,680,pF,±10%,X7R,50V," ",-55,125,"0603B681K500CT, 0603 X7R 680 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,0603 680pF ±10% 50V X7R,0603 680pF ±10% 50V X7R," "," "
0603B682K500CT,WALSIN Technology Co.," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,6800,pF,±10%,X7R,50V," ",-55,125,"0603B682K500CT, 0603 X7R 6800 pF 50V",Datasheet," ",0603 6800pF ±10% 50V X7R,0603 6800pF ±10% 50V X7R," "," "
0603B683K250CT,"WALSIN "," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,068",uF,±10%,X7R,25V," ",-55,125,"0603B683K250CT, 0603 X7R 0,068 uF 25V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,"0603 0,068uF ±10% 25V X7R","0603 0,068uF ±10% 25V X7R"," "," "
12062C104KAT2A,AVX," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 1206_3216 - 1.0MM.PCBLIB,CAP 1206_3216 - 1.0MM,SMD 1206,"0,1",uF,±10%,X7R,200V," ",-55,125,"12062C104KAT2A, 1206 X7R 0,1 uF 200V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,"1206 0,1uF ±10% 200V X7R","1206 0,1uF ±10% 200V X7R"," "," "
18122C105KAT2A,AVX," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 1812_4532 2.00MM.PCBLIB,PCB - CAPACITOR - MLCC - CAP 1812_4532 2.00MM.PCBLIB,SMD 1812,"1,0",uF,±10%,X7R,200V," ",-55,125,"18122C105KAT2A, 1812 X7R 1,0 uF 200V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,"1812 1,0uF ±10% 200V X7R","1812 1,0uF ±10% 200V X7R"," "," "
C3225X7R1H106M250AC,TDK," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 1210_3225 - 1.4MM.PCBLIB,CAP 1210_3225 - 1.4MM,SMD 1210,10,uF,±20%,X7R,50V," ",-55,125,"C3225X7R1H106M250AC, 1210 X7R 10 uF 50V",Datasheet,https://ru.mouser.com/datasheet/2/400/lcc_commercial_general_en-837201.pdf,1210 10uF ±20% 50V X7R,1210 10uF ±20% 50V X7R," "," "
CC0603JRX7R9BB223,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,022",uF,±5%,X7R,50V," ",-55,125,"CC0603JRX7R9BB223, 0603 X7R 0,022 uF 50V",Datasheet,https://ru.mouser.com/datasheet/2/447/UPY-GPHC_X7R_6.3V-to-50V_18-1154002.pdf,"0603 0,022uF ±5% 50V X7R","0603 0,022uF ±5% 50V X7R"," "," "
CC0603KRX7R8BB682,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,6800,pF,±10%,X7R,25V," ",-55,125,"CC0603KRX7R8BB682, 0603 X7R 6800 pF 25V",Datasheet," ",0603 6800pF ±10% 25V X7R,0603 6800pF ±10% 25V X7R," "," "
CC0603KRX7R8BB683,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,068",uF,±10%,X7R,50V," ",-55,125,"CC0603KRX7R8BB683, 0603 X7R 0,068 uF 50V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,"0603 0,068uF ±10% 50V X7R","0603 0,068uF ±10% 50V X7R"," "," "
CC0603KRX7R9BB103,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,01",uF,±10%,X7R,50V," ",-55,125,"CC0603KRX7R9BB103, 0603 X7R 0,01 uF 50V",Datasheet," ","0603 0,01uF ±10% 50V X7R","0603 0,01uF ±10% 50V X7R"," "," "
CC0603KRX7R9BB183,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,018",uF,±10%,X7R,50V," ",-55,125,"CC0603KRX7R9BB183, 0603 X7R 0,018 uF 50V",Datasheet,https://ru.mouser.com/datasheet/2/447/UPY-NP0X7R_MV_100-to-630V_21-1479806.pdf,"0603 0,018uF ±10% 50V X7R","0603 0,018uF ±10% 50V X7R"," "," "
CC0603KRX7R9BB68,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,6800,pF,±10%,X7R,50V," ",-55,125,"CC0603KRX7R9BB68, 0603 X7R 6800 pF 50V",Datasheet," ",0603 6800pF ±10% 50V X7R,0603 6800pF ±10% 50V X7R," "," "
CC0603KRX7R9BB681,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,680,pF,±10%,X7R,50V," ",-55,125,"CC0603KRX7R9BB681, 0603 X7R 680 pF 50V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,0603 680pF ±10% 50V X7R,0603 680pF ±10% 50V X7R," "," "
CC1206KKX7RABB104,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 1206_3216 - 1.0MM.PCBLIB,CAP 1206_3216 - 1.0MM,SMD 1206,"0,1",uF,±10%,X7R,200V," ",-55,125,"CC1206KKX7RABB104, 1206 X7R 0,1 uF 200V",Datasheet,https://sds.compel.ru/item-pdf/703bf2d700417c16d8c0e48aedab8cc2/ps/mur~grm.pdf,"1206 0,1uF ±10% 200V X7R","1206 0,1uF ±10% 200V X7R"," "," "
CC1206KKX7RYBB104,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 1206_3216 - 1.0MM.PCBLIB,CAP 1206_3216 - 1.0MM,SMD 1206,"0,1",uF,±10%,X7R,250V," ",-55,125,"CC1206KKX7RYBB104, 1206 X7R 0,1 uF 250V",Datasheet,https://ru.mouser.com/datasheet/2/447/UPY-NP0X7R_MV_100-to-630V_21-1479806.pdf,"1206 0,1uF ±10% 250V X7R","1206 0,1uF ±10% 250V X7R"," "," "
CC1812KKX7RDBB103,Yageo," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 1812_4532 2.00MM.PCBLIB,PCB - CAPACITOR - MLCC - CAP 1812_4532 2.00MM.PCBLIB,SMD 1812,"0,01",uF,±10%,X7R,2000V," ",-55,125,"CC1812KKX7RDBB103, 1812 X7R 0,01 uF 2000V",Datasheet,https://sds.compel.ru/item-pdf/32873f7648c0a9f5af7b3c27187c9626/ps/yag~yageo_c_1kv-3kv.pdf,"1812 0,01uF ±10% 2000V X7R","1812 0,01uF ±10% 2000V X7R"," "," "
CL10B104KB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,1",uF,±10%,X7R,50V," ",-55,125,"CL10B104KB8NNNC, 0603 X7R 0,1 uF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,"0603 0,1uF ±10% 50V X7R","0603 0,1uF ±10% 50V X7R"," "," "
CL10B105KA8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"1,0",uF,±10%,X7R,25V," ",-55,125,"CL10B105KA8NNNC, 0603 X7R 1,0 uF 25V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,"0603 1,0uF ±10% 25V X7R","0603 1,0uF ±10% 25V X7R"," "," "
CL10B105KP8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"1,0",uF,±10%,X7R,10V," ",-55,125,"CL10B105KP8NNNC, 0603 X7R 1,0 uF 10V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,"0603 1,0uF ±10% 10V X7R","0603 1,0uF ±10% 10V X7R"," "," "
CL10B681KB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,680,pF,±10%,X7R,50V," ",-55,125,"CL10B681KB8NNNC, 0603 X7R 680 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 680pF ±10% 50V X7R,0603 680pF ±10% 50V X7R," "," "
CL10B682JB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,6800,pF,±5%,X7R,50V," ",-55,125,"CL10B682JB8NNNC, 0603 X7R 6800 pF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,0603 6800pF ±5% 50V X7R,0603 6800pF ±5% 50V X7R," "," "
CL10B683KB8NNNC,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0603_1608.PCBLIB,CAP 0603_1608,SMD 0603,"0,068",uF,±10%,X7R,50V," ",-55,125,"CL10B683KB8NNNC, 0603 X7R 0,068 uF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,"0603 0,068uF ±10% 50V X7R","0603 0,068uF ±10% 50V X7R"," "," "
CL21B105KBFNNNE,Samsung," ",capacitor.Schlib,capacitor,PCB - CAPACITOR - MLCC - CAP 0805_2012.PCBLIB,CAP 0805_2012,SMD 0805,"1,0",uF,±10%,X7R,50V," ",-55,125,"CL21B105KBFNNNE, 0805 X7R 1,0 uF 50V",Datasheet,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,"0805 1,0uF ±10% 50V X7R","0805 1,0uF ±10% 50V X7R"," "," "
