Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Value,Tolerance,ppm,Power,Voltage,Description,Component Note,gost BOM,Note
RC0603DR-071R15L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,15R","0,5%",200,0.063,75,"RC0603DR-071R15L, 0,5% 1,15R","0603 1,15R 0,5%","0603 1,15R 0,5%"," "
RC0603FR-071R15L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,15R",1%,200,0.063,75,"RC0603FR-071R15L, 1% 1,15R","0603 1,15R 1%","0603 1,15R 1%"," "
RC0603DR-071R18L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,18R","0,5%",200,0.063,75,"RC0603DR-071R18L, 0,5% 1,18R","0603 1,18R 0,5%","0603 1,18R 0,5%"," "
RC0603FR-071R18L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,18R",1%,200,0.063,75,"RC0603FR-071R18L, 1% 1,18R","0603 1,18R 1%","0603 1,18R 1%"," "
RC0603FR-071R2L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,2R",1%,200,0.063,75,"RC0603FR-071R2L, 1% 1,2R","0603 1,2R 1%","0603 1,2R 1%"," "
RC0603JR-071R2L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,2R",5%,200,0.063,75,"RC0603JR-071R2L, 5% 1,2R","0603 1,2R 5%","0603 1,2R 5%"," "
RC0603DR-071R21L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,21R","0,5%",200,0.063,75,"RC0603DR-071R21L, 0,5% 1,21R","0603 1,21R 0,5%","0603 1,21R 0,5%"," "
RC0603FR-071R21L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,21R",1%,200,0.063,75,"RC0603FR-071R21L, 1% 1,21R","0603 1,21R 1%","0603 1,21R 1%"," "
RC0603DR-071R24L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,24R","0,5%",200,0.063,75,"RC0603DR-071R24L, 0,5% 1,24R","0603 1,24R 0,5%","0603 1,24R 0,5%"," "
RC0603FR-071R24L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,24R",1%,200,0.063,75,"RC0603FR-071R24L, 1% 1,24R","0603 1,24R 1%","0603 1,24R 1%"," "
RC0603DR-071R27L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,27R","0,5%",200,0.063,75,"RC0603DR-071R27L, 0,5% 1,27R","0603 1,27R 0,5%","0603 1,27R 0,5%"," "
RC0603FR-071R27L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,27R",1%,200,0.063,75,"RC0603FR-071R27L, 1% 1,27R","0603 1,27R 1%","0603 1,27R 1%"," "
RC0603DR-071R3L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,3R","0,5%",200,0.063,75,"RC0603DR-071R3L, 0,5% 1,3R","0603 1,3R 0,5%","0603 1,3R 0,5%"," "
RC0603FR-071R3L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,3R",1%,200,0.063,75,"RC0603FR-071R3L, 1% 1,3R","0603 1,3R 1%","0603 1,3R 1%"," "
RC0603JR-071R3L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,3R",5%,200,0.063,75,"RC0603JR-071R3L, 5% 1,3R","0603 1,3R 5%","0603 1,3R 5%"," "
RC0603DR-071R33L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,33R","0,5%",200,0.063,75,"RC0603DR-071R33L, 0,5% 1,33R","0603 1,33R 0,5%","0603 1,33R 0,5%"," "
RC0603FR-071R33L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,33R",1%,200,0.063,75,"RC0603FR-071R33L, 1% 1,33R","0603 1,33R 1%","0603 1,33R 1%"," "
RC0603DR-071R37L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,37R","0,5%",200,0.063,75,"RC0603DR-071R37L, 0,5% 1,37R","0603 1,37R 0,5%","0603 1,37R 0,5%"," "
RC0603FR-071R37L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,37R",1%,200,0.063,75,"RC0603FR-071R37L, 1% 1,37R","0603 1,37R 1%","0603 1,37R 1%"," "
RC0603DR-071R4L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,4R","0,5%",200,0.063,75,"RC0603DR-071R4L, 0,5% 1,4R","0603 1,4R 0,5%","0603 1,4R 0,5%"," "
RC0603FR-071R4L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,4R",1%,200,0.063,75,"RC0603FR-071R4L, 1% 1,4R","0603 1,4R 1%","0603 1,4R 1%"," "
RC0603DR-071R43L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,43R","0,5%",200,0.063,75,"RC0603DR-071R43L, 0,5% 1,43R","0603 1,43R 0,5%","0603 1,43R 0,5%"," "
RC0603FR-071R43L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,43R",1%,200,0.063,75,"RC0603FR-071R43L, 1% 1,43R","0603 1,43R 1%","0603 1,43R 1%"," "
RC0603DR-071R47L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,47R","0,5%",200,0.063,75,"RC0603DR-071R47L, 0,5% 1,47R","0603 1,47R 0,5%","0603 1,47R 0,5%"," "
RC0603FR-071R47L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,47R",1%,200,0.063,75,"RC0603FR-071R47L, 1% 1,47R","0603 1,47R 1%","0603 1,47R 1%"," "
RC0603DR-071R5L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,5R","0,5%",200,0.063,75,"RC0603DR-071R5L, 0,5% 1,5R","0603 1,5R 0,5%","0603 1,5R 0,5%"," "
RC0603FR-071R5L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,5R",1%,200,0.063,75,"RC0603FR-071R5L, 1% 1,5R","0603 1,5R 1%","0603 1,5R 1%"," "
RC0603JR-071R5L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,5R",5%,200,0.063,75,"RC0603JR-071R5L, 5% 1,5R","0603 1,5R 5%","0603 1,5R 5%"," "
RC0603DR-071R54L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,54R","0,5%",200,0.063,75,"RC0603DR-071R54L, 0,5% 1,54R","0603 1,54R 0,5%","0603 1,54R 0,5%"," "
RC0603FR-071R54L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,54R",1%,200,0.063,75,"RC0603FR-071R54L, 1% 1,54R","0603 1,54R 1%","0603 1,54R 1%"," "
RC0603DR-071R58L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,58R","0,5%",200,0.063,75,"RC0603DR-071R58L, 0,5% 1,58R","0603 1,58R 0,5%","0603 1,58R 0,5%"," "
RC0603FR-071R58L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,58R",1%,200,0.063,75,"RC0603FR-071R58L, 1% 1,58R","0603 1,58R 1%","0603 1,58R 1%"," "
RC0603FR-071R6L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,6R",1%,200,0.063,75,"RC0603FR-071R6L, 1% 1,6R","0603 1,6R 1%","0603 1,6R 1%"," "
RC0603JR-071R6L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,6R",5%,200,0.063,75,"RC0603JR-071R6L, 5% 1,6R","0603 1,6R 5%","0603 1,6R 5%"," "
RC0603DR-071R62L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,62R","0,5%",200,0.063,75,"RC0603DR-071R62L, 0,5% 1,62R","0603 1,62R 0,5%","0603 1,62R 0,5%"," "
RC0603FR-071R62L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,62R",1%,200,0.063,75,"RC0603FR-071R62L, 1% 1,62R","0603 1,62R 1%","0603 1,62R 1%"," "
RC0603DR-071R65L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,65R","0,5%",200,0.063,75,"RC0603DR-071R65L, 0,5% 1,65R","0603 1,65R 0,5%","0603 1,65R 0,5%"," "
RC0603FR-071R65L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,65R",1%,200,0.063,75,"RC0603FR-071R65L, 1% 1,65R","0603 1,65R 1%","0603 1,65R 1%"," "
RC0603DR-071R69L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,69R","0,5%",200,0.063,75,"RC0603DR-071R69L, 0,5% 1,69R","0603 1,69R 0,5%","0603 1,69R 0,5%"," "
RC0603FR-071R69L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,69R",1%,200,0.063,75,"RC0603FR-071R69L, 1% 1,69R","0603 1,69R 1%","0603 1,69R 1%"," "
RC0603DR-071R74L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,74R","0,5%",200,0.063,75,"RC0603DR-071R74L, 0,5% 1,74R","0603 1,74R 0,5%","0603 1,74R 0,5%"," "
RC0603FR-071R74L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,74R",1%,200,0.063,75,"RC0603FR-071R74L, 1% 1,74R","0603 1,74R 1%","0603 1,74R 1%"," "
RC0603DR-071R78L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,78R","0,5%",200,0.063,75,"RC0603DR-071R78L, 0,5% 1,78R","0603 1,78R 0,5%","0603 1,78R 0,5%"," "
RC0603FR-071R78L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,78R",1%,200,0.063,75,"RC0603FR-071R78L, 1% 1,78R","0603 1,78R 1%","0603 1,78R 1%"," "
RC0603FR-071R8L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,8R",1%,200,0.063,75,"RC0603FR-071R8L, 1% 1,8R","0603 1,8R 1%","0603 1,8R 1%"," "
RC0603JR-071R8L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,8R",5%,200,0.063,75,"RC0603JR-071R8L, 5% 1,8R","0603 1,8R 5%","0603 1,8R 5%"," "
RC0603DR-071R82L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,82R","0,5%",200,0.063,75,"RC0603DR-071R82L, 0,5% 1,82R","0603 1,82R 0,5%","0603 1,82R 0,5%"," "
RC0603FR-071R82L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,82R",1%,200,0.063,75,"RC0603FR-071R82L, 1% 1,82R","0603 1,82R 1%","0603 1,82R 1%"," "
RC0603DR-071R87L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,87R","0,5%",200,0.063,75,"RC0603DR-071R87L, 0,5% 1,87R","0603 1,87R 0,5%","0603 1,87R 0,5%"," "
RC0603FR-071R87L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,87R",1%,200,0.063,75,"RC0603FR-071R87L, 1% 1,87R","0603 1,87R 1%","0603 1,87R 1%"," "
RC0603DR-071R91L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,91R","0,5%",200,0.063,75,"RC0603DR-071R91L, 0,5% 1,91R","0603 1,91R 0,5%","0603 1,91R 0,5%"," "
RC0603FR-071R91L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,91R",1%,200,0.063,75,"RC0603FR-071R91L, 1% 1,91R","0603 1,91R 1%","0603 1,91R 1%"," "
RC0603DR-071R96L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,96R","0,5%",200,0.063,75,"RC0603DR-071R96L, 0,5% 1,96R","0603 1,96R 0,5%","0603 1,96R 0,5%"," "
RC0603FR-071R96L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"1,96R",1%,200,0.063,75,"RC0603FR-071R96L, 1% 1,96R","0603 1,96R 1%","0603 1,96R 1%"," "
RC0603DR-072RL,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,2R,"0,5%",200,0.063,75,"RC0603DR-072RL, 0,5% 2R","0603 2R 0,5%","0603 2R 0,5%"," "
RC0603FR-072RL,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,2R,1%,200,0.063,75,"RC0603FR-072RL, 1% 2R",0603 2R 1%,0603 2R 1%," "
RC0603JR-072RL,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,2R,5%,200,0.063,75,"RC0603JR-072RL, 5% 2R",0603 2R 5%,0603 2R 5%," "
RC0603DR-072R05L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,05R","0,5%",200,0.063,75,"RC0603DR-072R05L, 0,5% 2,05R","0603 2,05R 0,5%","0603 2,05R 0,5%"," "
RC0603FR-072R05L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,05R",1%,200,0.063,75,"RC0603FR-072R05L, 1% 2,05R","0603 2,05R 1%","0603 2,05R 1%"," "
RC0603DR-072R1L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,1R","0,5%",200,0.063,75,"RC0603DR-072R1L, 0,5% 2,1R","0603 2,1R 0,5%","0603 2,1R 0,5%"," "
RC0603FR-072R1L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,1R",1%,200,0.063,75,"RC0603FR-072R1L, 1% 2,1R","0603 2,1R 1%","0603 2,1R 1%"," "
RC0603DR-072R15L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,15R","0,5%",200,0.063,75,"RC0603DR-072R15L, 0,5% 2,15R","0603 2,15R 0,5%","0603 2,15R 0,5%"," "
RC0603FR-072R15L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,15R",1%,200,0.063,75,"RC0603FR-072R15L, 1% 2,15R","0603 2,15R 1%","0603 2,15R 1%"," "
RC0603FR-072R2L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,2R",1%,200,0.063,75,"RC0603FR-072R2L, 1% 2,2R","0603 2,2R 1%","0603 2,2R 1%"," "
RC0603JR-072R2L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,2R",5%,200,0.063,75,"RC0603JR-072R2L, 5% 2,2R","0603 2,2R 5%","0603 2,2R 5%"," "
RC0603DR-072R21L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,21R","0,5%",200,0.063,75,"RC0603DR-072R21L, 0,5% 2,21R","0603 2,21R 0,5%","0603 2,21R 0,5%"," "
RC0603FR-072R21L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,21R",1%,200,0.063,75,"RC0603FR-072R21L, 1% 2,21R","0603 2,21R 1%","0603 2,21R 1%"," "
RC0603DR-072R26L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,26R","0,5%",200,0.063,75,"RC0603DR-072R26L, 0,5% 2,26R","0603 2,26R 0,5%","0603 2,26R 0,5%"," "
RC0603FR-072R26L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,26R",1%,200,0.063,75,"RC0603FR-072R26L, 1% 2,26R","0603 2,26R 1%","0603 2,26R 1%"," "
RC0603DR-072R32L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,32R","0,5%",200,0.063,75,"RC0603DR-072R32L, 0,5% 2,32R","0603 2,32R 0,5%","0603 2,32R 0,5%"," "
RC0603FR-072R32L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,32R",1%,200,0.063,75,"RC0603FR-072R32L, 1% 2,32R","0603 2,32R 1%","0603 2,32R 1%"," "
RC0603DR-072R37L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,37R","0,5%",200,0.063,75,"RC0603DR-072R37L, 0,5% 2,37R","0603 2,37R 0,5%","0603 2,37R 0,5%"," "
RC0603FR-072R37L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,37R",1%,200,0.063,75,"RC0603FR-072R37L, 1% 2,37R","0603 2,37R 1%","0603 2,37R 1%"," "
RC0603FR-072R4L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,4R",1%,200,0.063,75,"RC0603FR-072R4L, 1% 2,4R","0603 2,4R 1%","0603 2,4R 1%"," "
RC0603JR-072R4L,Yageo," ",Resistor_0603.Schlib,Resistor_0603,PCB - RESISTOR - CHIP - RES 0603_1608.PCBLIB,RES 0603_1608,SMD 0603,"2,4R",5%,200,0.063,75,"RC0603JR-072R4L, 5% 2,4R","0603 2,4R 5%","0603 2,4R 5%"," "
